Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	FZ	CZ	PZ	FC1	FC2	CP1	CP2	FC5	FC6	CP5	CP6	FT9	FT10	P9	P10	POZ
128.9062	3.9139	1.7567	1.7035	0.6193	0.8533	-0.3926	0.4904	-0.8215	-0.0395	-1.2824	2.4471	-2.1018	0.0905	-3.2859	0.0757	-2.4273	1.7776	0.9969	0.1929	1.4797	0.9665	0.6056	0.1890	0.8410	-1.1134	0.4578	-1.7155	1.0081	-3.8509	-0.4338	-2.7951	-0.2055
132.8125	3.5078	1.9012	1.8486	0.9674	0.8642	-0.1662	0.1324	-0.7155	-0.4910	-1.5862	2.1325	-1.3674	-0.2791	-2.9083	-0.4840	-2.6350	2.0560	1.1645	0.2644	1.6780	1.1326	0.6386	0.3827	0.8075	-0.4353	0.1139	-1.5060	0.7730	-3.3019	-0.9635	-3.1934	-0.3322
136.7188	3.3482	1.6582	1.7483	1.0546	0.9755	-0.2138	0.2470	-0.5579	-0.4073	-1.1786	2.0365	-1.8148	0.0355	-3.3495	-0.3362	-2.5100	2.0048	1.2664	0.4585	1.6952	1.2885	0.8475	0.3690	0.7193	-1.1285	0.2161	-1.6884	0.8516	-3.7982	-0.7375	-3.0900	-0.0098
140.6250	2.2370	1.1587	1.1016	1.1569	0.5802	0.3478	-0.1547	-0.6572	-0.7755	-1.3967	1.0815	-0.2504	-0.1007	-1.5145	-0.5403	-2.0667	1.4133	1.0562	-0.1441	1.2096	1.2686	0.3902	0.1674	0.4017	0.1548	-0.1049	-0.7037	0.2206	-1.2111	-0.9121	-2.7874	-0.6261
144.5312	2.6101	1.8588	1.3945	0.5573	0.2416	0.0187	-0.5416	-0.8099	-0.9421	-1.5147	1.3033	0.3567	-0.8079	-0.5196	-0.7299	-1.6043	1.5112	0.5984	-0.7026	1.0858	0.4713	-0.2645	-0.0155	0.5556	1.4673	-0.3633	-0.5102	0.0575	-0.6365	-1.0338	-1.9013	-1.1901
148.4375	2.7655	2.4070	1.8035	2.0774	0.1840	-0.0068	-0.6662	-0.9885	-1.0702	-1.3912	1.4271	0.2269	-0.7966	-1.7905	-0.8733	-1.5350	2.4199	0.4474	-0.7103	1.3721	1.5071	-0.3788	-0.2293	0.7151	0.0717	-0.4214	-1.1581	0.1884	-1.9372	-1.0030	-1.5039	-1.1524
152.3438	2.4155	1.8735	0.9184	1.0323	-0.3638	0.2922	-1.2695	-0.5471	-1.1558	-0.8001	1.1129	0.6517	-1.0499	0.0233	-1.0678	-0.2257	1.1724	0.0795	-1.0848	0.5052	0.7263	-0.8609	-0.2724	0.1566	0.9111	-0.9330	-0.0543	0.1512	0.0766	-0.9323	-0.1580	-1.3235
156.2500	0.9412	0.8897	0.2274	0.9627	-0.6895	0.8822	-1.3628	-0.2793	-1.2113	-0.6149	0.1401	1.4785	-1.1834	1.3476	-1.0273	0.5188	0.4731	-0.1164	-1.3779	-0.0300	0.6968	-1.1572	-0.2146	-0.0491	1.6367	-1.0070	1.0247	-0.5366	1.8122	-0.9137	0.2993	-1.5597
160.1562	0.4877	1.2781	0.4827	1.8842	-0.6679	0.7464	-1.4356	-0.6296	-1.4008	-0.8364	-0.2199	2.1741	-1.1220	1.1613	-1.1569	0.2791	1.0975	-0.1958	-1.4640	0.2294	1.1626	-1.2112	-0.4813	0.0264	1.4485	-1.0481	0.5517	-0.6909	1.7890	-0.9506	0.4086	-1.6962
164.0625	0.3223	1.3559	-0.3615	-0.2472	-1.1194	0.0834	-1.8116	-0.7245	-1.0730	-0.6267	-0.3698	3.1138	-1.0996	3.7055	-1.1166	1.1251	-0.3898	-0.8764	-1.7080	-0.7102	-0.8369	-1.6061	-0.8831	-0.5934	3.0085	-1.4277	0.9237	-0.2594	4.4078	-0.5879	2.1479	-1.7653
