Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	A1	A2	FZ	CZ	PZ
152.0000	8.3121	7.1741	11.6257	6.3230	3.9233	-4.5505	2.0699	-25.2755	1.3763	-10.5816	11.7350	-3.0706	7.4150	-20.5212	7.3907	-26.5564	10.2979	5.2651	9.0284	3.9754	-5.3562
156.0000	8.4896	10.3383	11.3156	11.4346	3.9810	-4.0220	1.4276	-27.7008	1.0208	-11.6025	10.1730	-4.8248	7.4747	-21.4434	6.4655	-27.9887	8.4923	3.5263	13.7064	5.7634	-6.0267
160.0000	10.5151	12.5237	12.9943	13.4234	4.6782	-5.0492	1.1074	-31.3536	0.5817	-14.5011	11.4204	-5.4738	9.1968	-24.0112	7.0619	-30.8173	9.9253	2.6075	15.9716	6.5245	-7.3253
164.0000	11.2541	13.0645	13.4289	14.0343	5.0728	-5.6595	0.8675	-33.4236	0.3482	-16.0668	11.8870	-6.0080	10.1460	-24.8573	7.4835	-30.2463	10.6809	2.0677	16.8538	7.1856	-8.1132
168.0000	11.0148	17.1450	12.2601	21.1323	5.4317	-3.9762	0.1758	-34.9717	-0.2355	-16.8112	9.1430	-8.5543	9.5371	-25.4977	5.7169	-32.6786	6.7946	-0.8442	23.2951	10.0387	-8.1156
172.0000	11.4554	14.5336	15.5681	14.3897	2.4144	-7.8768	0.3984	-35.6527	1.2927	-14.5052	12.3916	-4.2222	10.2726	-25.4995	7.7566	-31.7002	13.8741	5.2533	16.2496	3.6931	-10.0867
176.0000	8.5266	12.9451	11.2718	15.0753	2.8655	-4.6495	0.3981	-29.6675	0.8522	-11.9481	8.5834	-5.4537	7.6488	-21.1488	5.5888	-26.6996	8.2202	2.7212	16.6104	5.7209	-7.4612
180.0000	1.6308	10.4761	1.7004	19.1930	3.9105	2.5683	0.3373	-20.0330	0.1958	-6.6902	-0.1951	-9.6323	1.9770	-12.9262	1.0873	-15.8024	-4.6732	-2.5361	20.0728	11.7378	-2.3985
184.0000	-5.8780	5.3224	-5.5819	17.7983	1.9844	6.6728	0.5581	-11.5652	1.2566	1.5323	-6.7080	-10.4296	-3.6024	-4.4337	-1.6279	-2.8521	-11.8969	-1.7488	17.6871	12.5524	0.9603
188.0000	-11.1855	2.2375	-10.8032	17.7499	1.1300	10.6144	1.0788	-4.6570	1.9623	7.6632	-11.4302	-11.2738	-8.0851	0.9524	-3.9048	2.9926	-18.3289	-1.5766	16.8891	13.7267	4.2481
192.0000	-12.3390	-3.7463	-9.1465	7.9223	-1.0049	8.0747	2.1933	-2.9853	3.8001	11.3709	-8.1418	-7.1338	-8.3661	2.1773	-1.4469	6.4727	-12.5482	5.1152	7.4021	8.3517	3.9785
196.0000	-12.1861	-5.8533	-8.7909	4.3778	-0.9076	7.4946	2.5613	-1.7451	3.9421	11.5689	-6.8750	-5.9989	-8.0909	2.6430	-0.6785	7.7254	-11.0113	6.1067	4.2520	7.2358	4.2301
